last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Trout, Mike,545361,2019,600,354,.291,.302,-0.011,.645,.661,-0.016,.436,.451,-0.015
Yelich, Christian,592885,2019,580,374,.329,.310,0.019,.671,.623,0.048,.442,.424,0.018
Bellinger, Cody,641355,2019,661,455,.305,.314,-0.009,.629,.626,0.003,.414,.424,-0.010
Kendrick, Howie,435062,2019,370,290,.344,.331,0.013,.572,.613,-0.041,.400,.418,-0.018
Cruz, Nelson,443558,2019,521,326,.311,.288,0.023,.639,.635,0.004,.417,.413,0.004
Rendon, Anthony,543685,2019,646,468,.319,.308,0.011,.598,.588,0.010,.413,.412,0.001
Betts, Mookie,605141,2019,706,505,.295,.306,-0.011,.524,.570,-0.046,.380,.408,-0.028
Soto, Juan,665742,2019,659,416,.282,.282,0.000,.548,.572,-0.024,.394,.407,-0.013
Freeman, Freddie,518692,2019,692,472,.295,.289,0.006,.549,.562,-0.013,.387,.392,-0.005
Acuña Jr., Ronald,660670,2019,715,439,.280,.281,-0.001,.518,.576,-0.058,.367,.392,-0.025
Martinez, J.D.,502110,2019,657,442,.304,.295,0.009,.557,.557,0.000,.386,.390,-0.004
Springer, George,543807,2019,556,370,.292,.275,0.017,.591,.564,0.027,.400,.390,0.010
Soler, Jorge,624585,2019,679,415,.265,.272,-0.007,.569,.587,-0.018,.377,.390,-0.013
Rizzo, Anthony,519203,2019,613,429,.293,.292,0.001,.520,.482,0.038,.390,.383,0.007
Harper, Bryce,547180,2019,682,399,.260,.270,-0.010,.510,.542,-0.032,.365,.383,-0.018
Donaldson, Josh,518626,2019,659,396,.259,.260,-0.001,.521,.528,-0.007,.377,.383,-0.006
Olson, Matt,621566,2019,547,346,.267,.273,-0.006,.545,.568,-0.023,.368,.382,-0.014
Davis, J.D.,605204,2019,453,315,.307,.307,0.000,.527,.538,-0.011,.373,.381,-0.008
Bell, Josh,605137,2019,613,416,.277,.278,-0.001,.569,.549,0.020,.378,.379,-0.001
Muncy, Max,571970,2019,589,342,.251,.260,-0.009,.515,.508,0.007,.372,.379,-0.007
Marte, Ketel,606466,2019,628,485,.329,.298,0.031,.592,.524,0.068,.405,.373,0.032
Meadows, Austin,640457,2019,591,399,.291,.280,0.011,.558,.545,0.013,.380,.373,0.007
Alonso, Pete,624413,2019,693,417,.260,.252,0.008,.583,.543,0.040,.384,.373,0.011
Schwarber, Kyle,656941,2019,610,379,.250,.260,-0.010,.531,.549,-0.018,.357,.372,-0.015
Turner, Justin,457759,2019,549,396,.290,.282,0.008,.509,.509,0.000,.370,.371,-0.001
Conforto, Michael,624424,2019,648,405,.257,.262,-0.005,.494,.506,-0.012,.358,.371,-0.013
Bregman, Alex,608324,2019,690,479,.296,.260,0.036,.592,.446,0.146,.418,.369,0.049
Ozuna, Marcell,542303,2019,549,372,.241,.276,-0.035,.472,.513,-0.041,.336,.368,-0.032
LeMahieu, DJ,518934,2019,655,517,.327,.304,0.023,.518,.506,0.012,.375,.366,0.009
Santana, Carlos,467793,2019,686,467,.281,.263,0.018,.515,.476,0.039,.380,.366,0.014
Sánchez, Gary,596142,2019,446,272,.232,.245,-0.013,.525,.557,-0.032,.346,.366,-0.020
Smoak, Justin,475253,2019,500,309,.208,.246,-0.038,.406,.487,-0.081,.323,.366,-0.043
Blackmon, Charlie,453568,2019,634,481,.314,.295,0.019,.576,.530,0.046,.387,.364,0.023
Choi, Ji-Man,596847,2019,487,309,.261,.258,0.003,.459,.490,-0.031,.348,.364,-0.016
Walker, Christian,572233,2019,603,375,.259,.261,-0.002,.476,.515,-0.039,.346,.363,-0.017
Grandal, Yasmani,518735,2019,632,379,.246,.237,0.009,.468,.468,0.000,.361,.363,-0.002
Encarnación, Edwin,429665,2019,486,318,.244,.242,0.002,.531,.516,0.015,.362,.363,-0.001
Cron, C.J.,543068,2019,499,353,.253,.270,-0.017,.469,.543,-0.074,.325,.362,-0.037
Castellanos, Nick,592206,2019,664,475,.289,.275,0.014,.525,.535,-0.010,.357,.360,-0.003
Voit, Luke,572228,2019,510,288,.263,.244,0.019,.464,.487,-0.023,.360,.360,-0.000
Reyes, Franmil,614177,2019,548,345,.249,.260,-0.011,.512,.537,-0.025,.338,.360,-0.022
Devers, Rafael,646240,2019,702,531,.311,.290,0.021,.555,.516,0.039,.377,.359,0.018
Mancini, Trey,641820,2019,679,464,.291,.274,0.017,.535,.500,0.035,.373,.359,0.014
Canha, Mark,592192,2019,497,305,.273,.241,0.032,.517,.458,0.059,.386,.358,0.028
Choo, Shin-Soo,425783,2019,660,399,.265,.260,0.005,.455,.469,-0.014,.353,.358,-0.005
Pham, Tommy,502054,2019,654,445,.273,.271,0.002,.450,.456,-0.006,.349,.355,-0.006
Goldschmidt, Paul,502671,2019,682,434,.260,.252,0.008,.476,.502,-0.026,.345,.355,-0.010
Moncada, Yoán,660162,2019,559,361,.315,.277,0.038,.548,.513,0.035,.379,.354,0.025
La Stella, Tommy,600303,2019,321,264,.295,.293,0.002,.486,.479,0.007,.345,.354,-0.009
Abreu, José,547989,2019,693,492,.284,.276,0.008,.503,.512,-0.009,.344,.354,-0.010
Díaz, Yandy,650490,2019,347,250,.267,.276,-0.009,.476,.483,-0.007,.341,.354,-0.013
Reynolds, Bryan,668804,2019,546,373,.314,.287,0.027,.503,.466,0.037,.371,.353,0.018
Semien, Marcus,543760,2019,747,556,.285,.261,0.024,.522,.480,0.042,.373,.353,0.020
Chapman, Matt,656305,2019,670,439,.249,.244,0.005,.506,.493,0.013,.354,.352,0.002
Marte, Starling,516782,2019,586,451,.295,.285,0.010,.503,.490,0.013,.353,.350,0.003
Longoria, Evan,446334,2019,508,346,.254,.268,-0.014,.437,.489,-0.052,.322,.350,-0.028
Swanson, Dansby,621020,2019,545,365,.251,.270,-0.019,.422,.476,-0.054,.317,.350,-0.033
Bogaerts, Xander,593428,2019,698,498,.309,.266,0.043,.555,.468,0.087,.390,.349,0.041
Markakis, Nick,455976,2019,469,361,.285,.297,-0.012,.420,.428,-0.008,.332,.349,-0.017
Suárez, Eugenio,553993,2019,662,392,.271,.241,0.030,.572,.491,0.081,.381,.349,0.032
Brantley, Michael,488726,2019,637,513,.311,.285,0.026,.503,.460,0.043,.367,.348,0.019
McNeil, Jeff,643446,2019,567,436,.318,.280,0.038,.531,.461,0.070,.384,.347,0.037
Ohtani, Shohei,660271,2019,425,278,.286,.277,0.009,.505,.485,0.020,.351,.347,0.004
Moustakas, Mike,519058,2019,584,427,.254,.257,-0.003,.516,.498,0.018,.348,.347,0.001
Seager, Kyle,572122,2019,443,309,.239,.255,-0.016,.468,.481,-0.013,.332,.347,-0.015
Albies, Ozzie,645277,2019,702,532,.295,.282,0.013,.500,.481,0.019,.354,.346,0.008
Bryant, Kris,592178,2019,634,400,.282,.244,0.038,.521,.457,0.064,.379,.346,0.033
Martínez, José,500874,2019,373,254,.269,.271,-0.002,.410,.466,-0.056,.323,.346,-0.023
Jiménez, Eloy,650391,2019,504,336,.267,.262,0.005,.513,.513,0.000,.343,.346,-0.003
Belt, Brandon,474832,2019,616,403,.234,.240,-0.006,.403,.454,-0.051,.319,.346,-0.027
