last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Guerrero Jr., Vladimir,665489,2021,282,192,.343,.324,0.019,.682,.632,0.050,.469,.442,0.027
Judge, Aaron,592450,2021,264,160,.282,.330,-0.048,.515,.625,-0.110,.384,.439,-0.055
Acuña Jr., Ronald,660670,2021,270,169,.292,.298,-0.006,.606,.617,-0.011,.421,.431,-0.010
Muncy, Max,571970,2021,244,143,.264,.290,-0.026,.528,.586,-0.058,.405,.431,-0.026
Ohtani, Shohei,660271,2021,254,154,.271,.286,-0.015,.618,.654,-0.036,.403,.423,-0.020
Trout, Mike,545361,2021,146,76,.333,.297,0.036,.624,.574,0.050,.454,.422,0.032
Soto, Juan,665742,2021,229,154,.266,.308,-0.042,.426,.560,-0.134,.355,.421,-0.066
Tatis Jr., Fernando,665487,2021,219,134,.277,.292,-0.015,.665,.658,0.007,.414,.420,-0.006
Tucker, Kyle,663656,2021,265,199,.268,.328,-0.060,.506,.619,-0.113,.350,.418,-0.068
Longoria, Evan,446334,2021,186,119,.280,.300,-0.020,.516,.600,-0.084,.381,.415,-0.034
Freeman, Freddie,518692,2021,285,189,.242,.305,-0.063,.471,.590,-0.119,.351,.414,-0.063
Winker, Jesse,608385,2021,260,186,.343,.318,0.025,.626,.584,0.042,.443,.413,0.030
Harper, Bryce,547180,2021,199,115,.274,.293,-0.019,.470,.592,-0.122,.371,.413,-0.042
Brantley, Michael,488726,2021,211,173,.344,.360,-0.016,.497,.542,-0.045,.383,.411,-0.028
Olson, Matt,621566,2021,267,190,.297,.279,0.018,.603,.575,0.028,.409,.406,0.003
O'Neill, Tyler,641933,2021,183,109,.287,.288,-0.001,.614,.649,-0.035,.396,.405,-0.009
Castellanos, Nick,592206,2021,268,193,.350,.325,0.025,.610,.572,0.038,.431,.403,0.028
Devers, Rafael,646240,2021,275,180,.283,.297,-0.014,.567,.606,-0.039,.383,.402,-0.019
Ramírez, José,608070,2021,273,208,.272,.305,-0.033,.544,.564,-0.020,.375,.400,-0.025
Kelly, Carson,608348,2021,181,113,.269,.281,-0.012,.476,.522,-0.046,.375,.397,-0.022
Cruz, Nelson,443558,2021,236,161,.296,.274,0.022,.552,.563,-0.011,.383,.396,-0.013
Kirilloff, Alex,666135,2021,137,98,.264,.317,-0.053,.442,.601,-0.159,.318,.396,-0.078
Posey, Buster,457763,2021,190,137,.337,.301,0.036,.586,.551,0.035,.422,.391,0.031
Donaldson, Josh,518626,2021,225,154,.241,.278,-0.037,.455,.551,-0.096,.342,.389,-0.047
Grandal, Yasmani,518735,2021,195,89,.152,.202,-0.050,.384,.435,-0.051,.352,.389,-0.037
Mancini, Trey,641820,2021,281,192,.277,.299,-0.022,.482,.524,-0.042,.361,.386,-0.025
Realmuto, J.T.,592663,2021,193,120,.286,.287,-0.001,.466,.482,-0.016,.372,.385,-0.013
Martinez, J.D.,502110,2021,273,186,.309,.295,0.014,.545,.548,-0.003,.388,.381,0.007
Blackmon, Charlie,453568,2021,242,176,.280,.304,-0.024,.406,.473,-0.067,.348,.381,-0.033
Seager, Corey,608369,2021,169,118,.265,.292,-0.027,.422,.501,-0.079,.343,.381,-0.038
Votto, Joey,458015,2021,156,103,.232,.269,-0.037,.449,.540,-0.091,.335,.381,-0.046
Ramirez, Harold,623912,2021,128,107,.269,.323,-0.054,.429,.518,-0.089,.318,.380,-0.062
Conforto, Michael,624424,2021,135,86,.230,.275,-0.045,.336,.471,-0.135,.317,.379,-0.062
Marte, Starling,516782,2021,139,92,.333,.279,0.054,.538,.473,0.065,.416,.378,0.038
Carpenter, Matt,572761,2021,134,73,.173,.249,-0.076,.309,.506,-0.197,.284,.377,-0.093
Bogaerts, Xander,593428,2021,269,191,.325,.298,0.027,.571,.514,0.057,.406,.376,0.030
Smith, Will,669257,2021,206,140,.267,.274,-0.007,.465,.472,-0.007,.362,.376,-0.014
Reynolds, Bryan,668804,2021,270,176,.293,.273,0.020,.504,.499,0.005,.387,.375,0.012
Marte, Ketel,606466,2021,128,99,.347,.329,0.018,.525,.487,0.038,.391,.374,0.017
Hernández, Teoscar,606192,2021,214,143,.298,.297,0.001,.485,.550,-0.065,.357,.374,-0.017
Moncada, Yoán,660162,2021,266,145,.280,.274,0.006,.408,.453,-0.045,.362,.374,-0.012
Alonso, Pete,624413,2021,210,138,.253,.265,-0.012,.462,.536,-0.074,.344,.373,-0.029
Crawford, Brandon,543063,2021,222,141,.249,.255,-0.006,.528,.546,-0.018,.364,.373,-0.009
Perez, Salvador,521692,2021,275,194,.287,.286,0.001,.533,.567,-0.034,.361,.372,-0.011
Díaz, Aledmys,649557,2021,126,96,.278,.306,-0.028,.435,.511,-0.076,.334,.372,-0.038
Taylor, Chris,621035,2021,252,149,.267,.258,0.009,.462,.466,-0.004,.370,.369,0.001
Santana, Carlos,467793,2021,285,197,.244,.252,-0.008,.402,.480,-0.078,.340,.369,-0.029
Reyes, Franmil,614177,2021,158,97,.257,.256,0.001,.576,.559,0.017,.373,.368,0.005
Pham, Tommy,502054,2021,243,148,.242,.256,-0.014,.359,.446,-0.087,.333,.368,-0.035
Alvarez, Yordan,670541,2021,229,152,.301,.276,0.025,.512,.521,-0.009,.370,.367,0.003
Larnach, Trevor,663616,2021,123,68,.260,.256,0.004,.413,.471,-0.058,.351,.367,-0.016
Laureano, Ramón,657656,2021,210,133,.255,.257,-0.002,.511,.539,-0.028,.359,.366,-0.007
Gallo, Joey,608336,2021,267,129,.216,.220,-0.004,.399,.452,-0.053,.347,.365,-0.018
Narváez, Omar,553882,2021,170,120,.318,.283,0.035,.493,.466,0.027,.385,.364,0.021
Correa, Carlos,621043,2021,279,198,.293,.291,0.002,.508,.458,0.050,.383,.364,0.019
Duffy, Matt,622110,2021,106,73,.278,.297,-0.019,.356,.426,-0.070,.332,.363,-0.031
Canha, Mark,592192,2021,297,184,.251,.249,0.002,.457,.458,-0.001,.365,.363,0.002
Bryant, Kris,592178,2021,257,168,.292,.274,0.018,.544,.482,0.062,.391,.362,0.029
Turner, Justin,457759,2021,267,183,.277,.265,0.012,.481,.476,0.005,.367,.362,0.005
Abreu, José,547989,2021,267,174,.252,.261,-0.009,.466,.502,-0.036,.340,.362,-0.022
Zunino, Mike,572287,2021,158,78,.194,.214,-0.020,.504,.556,-0.052,.339,.362,-0.023
Stanton, Giancarlo,519317,2021,197,122,.260,.263,-0.003,.503,.519,-0.016,.355,.361,-0.006
Lowrie, Jed,476704,2021,255,173,.247,.271,-0.024,.379,.492,-0.113,.313,.361,-0.048
Bichette, Bo,666182,2021,293,204,.283,.278,0.005,.496,.518,-0.022,.355,.359,-0.004
Aguilar, Jesús,542583,2021,258,189,.273,.293,-0.020,.485,.512,-0.027,.344,.359,-0.015
Rizzo, Anthony,519203,2021,251,187,.259,.276,-0.017,.458,.460,-0.002,.348,.359,-0.011
Haniger, Mitch,571745,2021,278,192,.259,.271,-0.012,.514,.522,-0.008,.349,.358,-0.009
McCutchen, Andrew,457705,2021,259,156,.221,.251,-0.030,.427,.455,-0.028,.333,.358,-0.025
Verdugo, Alex,657077,2021,263,209,.289,.295,-0.006,.464,.480,-0.016,.349,.357,-0.008
Lewis, Kyle,641786,2021,147,93,.246,.254,-0.008,.392,.491,-0.099,.322,.357,-0.035
Yelich, Christian,592885,2021,141,69,.245,.230,0.015,.382,.407,-0.025,.352,.357,-0.005
Albies, Ozzie,645277,2021,273,202,.250,.272,-0.022,.475,.488,-0.013,.342,.356,-0.014
Upton, Justin,457708,2021,239,139,.232,.245,-0.013,.473,.490,-0.017,.345,.356,-0.011
Bote, David,623520,2021,162,110,.201,.263,-0.062,.340,.487,-0.147,.276,.356,-0.080
Altuve, Jose,514888,2021,267,199,.294,.278,0.016,.511,.471,0.040,.372,.355,0.017
Gomes, Yan,543228,2021,161,125,.255,.303,-0.048,.438,.510,-0.072,.308,.355,-0.047
Polanco, Jorge,593871,2021,258,193,.254,.275,-0.021,.444,.490,-0.046,.329,.355,-0.026
Senzel, Nick,669222,2021,124,96,.252,.307,-0.055,.315,.440,-0.125,.288,.355,-0.067
Smith, Pavin,656976,2021,262,199,.278,.291,-0.013,.423,.471,-0.048,.329,.354,-0.025
Arraez, Luis,650333,2021,171,134,.273,.300,-0.027,.327,.438,-0.111,.304,.354,-0.050
Goldschmidt, Paul,502671,2021,280,191,.248,.267,-0.019,.409,.497,-0.088,.316,.354,-0.038
Schwarber, Kyle,656941,2021,239,142,.230,.246,-0.016,.455,.485,-0.030,.333,.354,-0.021
Garver, Mitch,641598,2021,135,71,.224,.229,-0.005,.500,.503,-0.003,.358,.354,0.004
Betts, Mookie,605141,2021,272,188,.253,.261,-0.008,.454,.421,0.033,.358,.353,0.005
Cron, C.J.,543068,2021,196,118,.250,.258,-0.008,.429,.442,-0.013,.347,.353,-0.006
García, Avisaíl,541645,2021,238,154,.239,.262,-0.023,.451,.498,-0.047,.328,.353,-0.025
Dickerson, Alex,543105,2021,146,102,.226,.282,-0.056,.398,.468,-0.070,.304,.353,-0.049
García, Adolis,666969,2021,238,158,.274,.267,0.007,.518,.518,0.000,.351,.352,-0.001
Garlick, Kyle,664247,2021,107,68,.232,.253,-0.021,.465,.529,-0.064,.317,.352,-0.035
Sánchez, Gary,596142,2021,187,108,.228,.242,-0.014,.457,.485,-0.028,.340,.352,-0.012
Riley, Austin,663586,2021,255,151,.291,.256,0.035,.500,.476,0.024,.376,.351,0.025
Naquin, Tyler,571980,2021,212,137,.261,.261,0.000,.495,.491,0.004,.351,.351,-0.000
Belt, Brandon,474832,2021,178,93,.250,.219,0.031,.507,.448,0.059,.378,.351,0.027
