last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Buxton, Byron,621439,142,MIN,CF,23,88,4.01,30.9
Mondesi, Adalberto,609275,118,KC,2B,21,41,4.00,30.3
Hamilton, Billy,571740,113,CIN,CF,26,169,3.96,30.2
Turner, Trea,607208,120,WSH,CF,23,108,4.06,30.2
Quinn, Roman,596451,143,PHI,LF,23,24,,30.1
Margot, Manuel,622534,135,SD,CF,22,23,4.11,30.1
Brito, Socrates,593647,109,ARI,CF,24,29,4.13,29.9
Broxton, Keon,542979,158,MIL,CF,26,67,4.12,29.9
DeShields, Delino,592261,140,TEX,CF,24,79,4.13,29.8
Difo, Wilmer,594694,120,WSH,2B,24,27,,29.8
Stubbs, Drew,453211,110,BAL,RF,32,18,4.06,29.7
Orlando, Paulo,449181,118,KC,RF,31,202,4.22,29.7
Strange-Gordon, Dee,543829,146,MIA,2B,28,163,3.92,29.7
Gentry, Craig,502226,108,LAA,LF,33,20,4.19,29.6
Story, Trevor,596115,115,COL,SS,24,97,4.17,29.6
Hernandez, Cesar,514917,143,PHI,2B,26,252,4.08,29.6
Bourjos, Peter,488721,143,PHI,RF,29,159,4.10,29.6
Smith, Mallex,605480,144,ATL,CF,23,87,4.03,29.6
Hernández, Teoscar,606192,117,HOU,LF,24,40,4.15,29.5
Jankowski, Travis,608671,135,SD,CF,25,152,4.08,29.5
Hazelbaker, Jeremy,571757,138,STL,LF,29,77,4.04,29.5
Kiermaier, Kevin,595281,139,TB,CF,26,161,3.99,29.4
O'Malley, Shawn,502523,136,SEA,SS,29,89,4.04,29.4
Spangenberg, Cory,605486,135,SD,2B,25,28,4.07,29.3
Toles, Andrew,592808,119,LAD,LF,24,60,4.09,29.3
Burns, Billy,542993,118,KC,CF,27,164,3.91,29.3
Ladendorf, Tyler,502285,133,OAK,2B,28,20,4.21,29.3
Rivera, Yadiel,592680,158,MIL,2B,24,26,4.27,29.3
Marisnick, Jake,545350,117,HOU,CF,25,102,4.22,29.2
Díaz, Aledmys,649557,138,STL,SS,26,198,4.15,29.2
Lake, Junior,516809,141,TOR,RF,26,20,4.19,29.2
d'Arnaud, Chase,488818,144,ATL,SS,29,100,4.06,29.1
McCutchen, Andrew,457705,134,PIT,CF,30,168,4.31,29.1
García, Avisaíl,541645,145,CWS,DH,25,172,4.33,29.1
Reed, Michael,605439,158,MIL,CF,24,13,4.33,29.1
Cain, Lorenzo,456715,118,KC,CF,30,171,4.23,29.1
Taylor, Chris,621035,119,LAD,2B,26,28,4.25,29.1
Gosselin, Phil,594838,109,ARI,2B,28,98,4.24,29.0
Davis, Rajai,434658,114,CLE,CF,36,203,4.10,29.0
Rutledge, Josh,592710,111,BOS,3B,27,23,4.26,29.0
Trout, Mike,545361,108,LAA,CF,25,220,4.24,29.0
Hernández, Marco,593523,111,BOS,3B,24,36,4.02,29.0
Robinson, Shane,453203,108,LAA,LF,32,49,4.22,29.0
Owings, Chris,572008,109,ARI,SS,25,206,4.10,29.0
Merrifield, Whit,593160,118,KC,2B,27,125,4.20,29.0
Holt, Tyler,534627,113,CIN,CF,27,83,4.20,29.0
Lawrie, Brett,543434,145,CWS,2B,26,128,4.20,29.0
Shuck, JB,543776,145,CWS,CF,29,110,4.04,28.9
Marte, Starling,516782,134,PIT,LF,28,223,4.11,28.9
Presley, Alex,502100,116,DET,RF,31,50,4.10,28.9
Swanson, Dansby,621020,144,ATL,SS,22,51,4.11,28.9
Peraza, José,606299,113,CIN,SS,22,101,4.18,28.9
Yelich, Christian,592885,146,MIA,LF,25,265,4.22,28.9
Báez, Javier,595879,112,CHC,2B,24,191,4.18,28.9
Altherr, Aaron,571437,143,PHI,RF,25,77,4.38,28.9
Lagares, Juan,501571,121,NYM,CF,27,57,4.28,28.9
Gómez, Carlos,460576,140,TEX,CF,31,143,4.27,28.9
Maybin, Cameron,457727,116,DET,CF,29,191,4.21,28.9
Polanco, Jorge,593871,142,MIN,SS,23,81,4.11,28.9
Souza Jr., Steven,519306,139,TB,RF,27,134,4.22,28.8
Dyson, Jarrod,502481,118,KC,CF,32,155,4.09,28.8
Pollock, AJ,572041,109,ARI,CF,29,14,,28.8
Realmuto, J.T.,592663,146,MIA,C,25,228,4.19,28.8
Haniger, Mitch,571745,109,ARI,CF,26,36,4.24,28.8
Peterson, Jace,607054,144,ATL,2B,26,175,4.18,28.8
Pirela, Jose,517369,135,SD,2B,27,17,4.26,28.8
Taylor, Michael A.,572191,120,WSH,CF,25,76,4.18,28.8
Gardner, Brett,458731,147,NYY,LF,33,264,4.04,28.7
Anderson, Tim,641313,145,CWS,SS,23,180,4.21,28.7
Pham, Tommy,502054,138,STL,CF,28,49,4.36,28.7
Bonifácio, Emilio,466988,144,ATL,LF,31,15,4.02,28.7
Nimmo, Brandon,607043,121,NYM,LF,23,26,4.16,28.7
Goeddel, Tyler,595963,143,PHI,LF,24,93,4.30,28.6
Renda, Tony,573113,113,CIN,2B,25,29,4.27,28.6
Wendle, Joey,621563,133,OAK,2B,26,47,4.09,28.6
Hoying, Jared,592419,140,TEX,LF,27,18,,28.6
Desmond, Ian,435622,140,TEX,CF,31,289,4.31,28.6
Grichuk, Randal,545341,138,STL,CF,25,144,4.32,28.6
Saladino, Tyler,573135,145,CWS,2B,27,131,4.38,28.6
Dahl, David,621311,115,COL,LF,22,95,4.13,28.6
Hernández, Gorkys,491676,137,SF,CF,29,18,4.28,28.6
Bryant, Kris,592178,112,CHC,3B,24,225,4.24,28.6
Russell, Addison,608365,112,CHC,SS,22,213,4.21,28.5
Iglesias, José,578428,116,DET,SS,26,243,4.09,28.5
Jones, JaCoby,592444,116,DET,3B,24,11,,28.5
Ahmed, Nick,605113,109,ARI,SS,26,125,4.29,28.5
Benintendi, Andrew,643217,111,BOS,LF,22,53,4.19,28.5
Goodwin, Brian,571718,120,WSH,RF,26,18,,28.5
Rosario, Eddie,592696,142,MIN,LF,25,128,4.15,28.5
Gamel, Ben,592325,136,SEA,RF,24,20,,28.5
Pence, Hunter,452254,137,SF,RF,33,195,4.20,28.5
Hicks, Aaron,543305,147,NYY,RF,27,135,4.17,28.5
Robertson, Daniel,543706,136,SEA,LF,31,13,,28.5
Marte, Ketel,606466,136,SEA,SS,23,206,4.22,28.4
Heredia, Guillermo,628338,136,SEA,LF,25,42,4.26,28.4
Culberson, Charlie,518586,119,LAD,2B,27,30,4.22,28.4
Altuve, Jose,514888,117,HOU,2B,26,276,4.16,28.4
Marte, Jefry,527043,108,LAA,1B,25,103,4.39,28.4
Pérez, Hernán,541650,158,MIL,3B,25,150,4.30,28.4
Semien, Marcus,543760,133,OAK,SS,26,193,4.22,28.4
Williamson, Mac,607776,137,SF,RF,26,42,4.38,28.4
Bethancourt, Christian,542194,135,SD,C,25,74,4.35,28.4
Duvall, Adam,594807,113,CIN,LF,28,173,4.36,28.4
Springer, George,543807,117,HOU,RF,27,241,4.30,28.4
Bogaerts, Xander,593428,111,BOS,SS,24,311,4.18,28.4
Bregman, Alex,608324,117,HOU,3B,22,61,4.30,28.4
Segura, Jean,516416,109,ARI,2B,26,320,4.14,28.4
Thompson, Trayce,572204,119,LAD,CF,25,103,4.28,28.4
Hanson, Alen,593700,134,PIT,2B,24,13,,28.3
Almonte, Abraham,501659,114,CLE,RF,27,84,4.25,28.3
Tapia, Raimel,606132,115,COL,CF,22,13,,28.3
Szczur, Matt,519333,112,CHC,LF,27,75,4.15,28.3
Naquin, Tyler,571980,114,CLE,CF,25,128,4.25,28.3
Eaton, Adam,594809,145,CWS,RF,28,316,4.07,28.3
Holt, Brock,571788,111,BOS,LF,28,153,4.18,28.3
Carrera, Ezequiel,485567,141,TOR,RF,29,142,4.15,28.3
Rickard, Joey,572073,110,BAL,RF,25,99,4.17,28.2
