last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Cabrera, Miguel,408234,2016,679,484,.316,.327,-0.011,.563,.675,-0.112,.399,.443,-0.044
Trout, Mike,545361,2016,681,417,.315,.294,0.021,.550,.565,-0.015,.418,.415,0.003
Ortiz, David,120074,2016,626,458,.315,.299,0.016,.620,.628,-0.008,.419,.410,0.009
Donaldson, Josh,518626,2016,700,463,.284,.276,0.008,.549,.556,-0.007,.403,.397,0.006
Votto, Joey,458015,2016,677,444,.326,.301,0.025,.550,.550,0.000,.413,.396,0.017
Martinez, J.D.,502110,2016,517,337,.307,.292,0.015,.535,.574,-0.039,.384,.393,-0.009
Carpenter, Matt,572761,2016,566,372,.271,.282,-0.011,.505,.543,-0.038,.375,.391,-0.016
Freeman, Freddie,518692,2016,693,423,.302,.275,0.027,.569,.565,0.004,.402,.388,0.014
Murphy, Daniel,502517,2016,582,482,.347,.314,0.033,.595,.570,0.025,.408,.386,0.022
Cruz, Nelson,443558,2016,667,437,.287,.272,0.015,.555,.595,-0.040,.383,.386,-0.003
LeMahieu, DJ,518934,2016,635,486,.348,.330,0.018,.495,.492,0.003,.391,.383,0.008
Santana, Carlos,467793,2016,688,488,.259,.274,-0.015,.498,.524,-0.026,.370,.382,-0.012
Bryant, Kris,592178,2016,699,452,.292,.269,0.023,.554,.566,-0.012,.396,.380,0.016
Castellanos, Nick,592206,2016,447,305,.285,.288,-0.003,.496,.587,-0.091,.350,.380,-0.030
Morales, Kendrys,434778,2016,618,443,.263,.285,-0.022,.468,.551,-0.083,.339,.380,-0.041
Yelich, Christian,592885,2016,659,445,.298,.295,0.003,.483,.499,-0.016,.367,.377,-0.010
Altuve, Jose,514888,2016,717,580,.338,.312,0.026,.531,.522,0.009,.391,.376,0.015
Belt, Brandon,474832,2016,655,398,.275,.256,0.019,.474,.481,-0.007,.374,.373,0.001
Seager, Corey,608369,2016,687,496,.308,.299,0.009,.512,.517,-0.005,.372,.372,0.000
Encarnación, Edwin,429665,2016,702,471,.263,.259,0.004,.529,.534,-0.005,.373,.372,0.001
Butler, Billy,456714,2016,274,211,.284,.305,-0.021,.416,.513,-0.097,.324,.370,-0.046
Seager, Kyle,572122,2016,676,491,.278,.287,-0.009,.499,.511,-0.012,.363,.370,-0.007
Céspedes, Yoenis,493316,2016,543,377,.280,.282,-0.002,.530,.539,-0.009,.369,.369,0.000
Pearce, Steve,456665,2016,302,211,.288,.276,0.012,.492,.515,-0.023,.371,.366,0.005
Beltré, Adrián,134181,2016,640,520,.300,.287,0.013,.521,.516,0.005,.371,.362,0.009
Machado, Manny,592518,2016,696,525,.294,.287,0.007,.533,.530,0.003,.366,.362,0.004
Davis, Khris,501981,2016,610,394,.247,.247,0.000,.524,.563,-0.039,.349,.362,-0.013
Carter, Chris,474892,2016,644,353,.222,.235,-0.013,.499,.537,-0.038,.346,.362,-0.016
Story, Trevor,596115,2016,415,245,.272,.268,0.004,.567,.576,-0.009,.380,.360,0.020
Martinez, Victor,400121,2016,610,466,.289,.285,0.004,.476,.512,-0.036,.351,.359,-0.008
Correa, Carlos,621043,2016,660,441,.274,.277,-0.003,.451,.477,-0.026,.349,.358,-0.009
Trumbo, Mark,444432,2016,667,443,.256,.261,-0.005,.533,.557,-0.024,.358,.358,0.000
Bautista, José,430832,2016,517,324,.234,.252,-0.018,.452,.455,-0.003,.355,.358,-0.003
Goldschmidt, Paul,502671,2016,705,437,.297,.263,0.034,.489,.457,0.032,.381,.357,0.024
Pujols, Albert,405395,2016,650,524,.268,.278,-0.010,.457,.521,-0.064,.331,.357,-0.026
Smith, Seth,452234,2016,438,293,.249,.264,-0.015,.415,.480,-0.065,.331,.356,-0.025
Bour, Justin,571506,2016,321,227,.264,.267,-0.003,.475,.501,-0.026,.343,.354,-0.011
Rizzo, Anthony,519203,2016,676,478,.292,.257,0.035,.544,.488,0.056,.391,.353,0.038
Longoria, Evan,446334,2016,685,496,.273,.267,0.006,.521,.545,-0.024,.350,.353,-0.003
Blackmon, Charlie,453568,2016,641,483,.324,.293,0.031,.552,.495,0.057,.394,.352,0.042
Mauer, Joe,408045,2016,576,403,.261,.274,-0.013,.389,.441,-0.052,.327,.352,-0.025
Grandal, Yasmani,518735,2016,457,275,.228,.232,-0.004,.477,.482,-0.005,.350,.352,-0.002
Posey, Buster,457763,2016,614,479,.288,.279,0.009,.434,.472,-0.038,.341,.351,-0.010
Walker, Neil,435522,2016,458,331,.282,.269,0.013,.476,.493,-0.017,.351,.351,-0.000
Springer, George,543807,2016,744,467,.261,.253,0.008,.457,.463,-0.006,.353,.351,0.002
Santana, Domingo,570267,2016,281,156,.256,.263,-0.007,.447,.459,-0.012,.343,.351,-0.008
Joyce, Matt,459964,2016,293,164,.242,.221,0.021,.463,.421,0.042,.375,.351,0.024
Turner, Justin,457759,2016,622,457,.275,.273,0.002,.493,.486,0.007,.353,.350,0.003
Healy, Ryon,592387,2016,283,210,.305,.289,0.016,.524,.533,-0.009,.364,.349,0.015
Howard, Ryan,429667,2016,362,220,.196,.242,-0.046,.453,.538,-0.085,.298,.349,-0.051
Tulowitzki, Troy,453064,2016,544,395,.254,.267,-0.013,.443,.513,-0.070,.327,.348,-0.021
Álvarez, Pedro,476883,2016,376,242,.249,.257,-0.008,.504,.510,-0.006,.349,.348,0.001
Davis, Chris,448801,2016,665,350,.221,.216,0.005,.459,.488,-0.029,.340,.348,-0.008
Zobrist, Ben,450314,2016,631,449,.272,.270,0.002,.446,.423,0.023,.360,.347,0.013
Forsythe, Logan,523253,2016,567,386,.264,.265,-0.001,.444,.472,-0.028,.336,.345,-0.009
Gutierrez, Franklin,429711,2016,283,166,.246,.241,0.005,.452,.466,-0.014,.336,.344,-0.008
Valencia, Danny,502143,2016,517,358,.287,.276,0.011,.446,.480,-0.034,.342,.343,-0.001
Kemp, Matt,461314,2016,672,479,.268,.267,0.001,.499,.534,-0.035,.333,.343,-0.010
Kang, Jung Ho,628356,2016,370,241,.255,.237,0.018,.513,.463,0.050,.369,.343,0.026
Canó, Robinson,429664,2016,715,560,.298,.280,0.018,.533,.482,0.051,.370,.342,0.028
Calhoun, Kole,594777,2016,672,481,.271,.265,0.006,.438,.451,-0.013,.340,.342,-0.002
Pederson, Joc,592626,2016,476,279,.246,.235,0.011,.495,.469,0.026,.360,.342,0.018
Arenado, Nolan,571448,2016,696,523,.294,.270,0.024,.570,.537,0.033,.386,.341,0.045
Holliday, Matt,407812,2016,426,312,.246,.256,-0.010,.461,.467,-0.006,.335,.341,-0.006
Dickerson, Alex,543105,2016,285,211,.257,.269,-0.012,.455,.458,-0.003,.336,.340,-0.004
