last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Robles, Victor,645302,120,WSH,RF,20,13,,30.9
Buxton, Byron,621439,142,MIN,CF,24,129,3.95,30.6
Sierra, Magneuris,642423,138,STL,RF,21,27,3.91,30.6
Engel, Adam,641553,145,CWS,CF,26,104,4.05,30.5
Turner, Trea,607208,120,WSH,SS,24,174,4.09,30.4
Hamilton, Billy,571740,113,CIN,CF,27,239,3.91,30.2
Rosario, Amed,642708,121,NYM,SS,22,65,4.04,30.1
Smith, Mallex,605480,139,TB,CF,24,116,4.01,30.1
DeShields, Delino,592261,140,TEX,LF,25,132,3.97,30.1
Zimmer, Bradley,605548,114,CLE,CF,25,107,4.07,30.0
Bader, Harrison,664056,138,STL,CF,23,29,4.09,30.0
Adams, Lane,572669,144,ATL,,28,38,4.15,30.0
Bourjos, Peter,488721,139,TB,LF,30,82,4.06,30.0
Broxton, Keon,542979,158,MIL,CF,27,123,4.06,29.9
Cordero, Franchy,614173,135,SD,CF,23,31,4.03,29.9
Davis, Rajai,434658,111,BOS,CF,37,150,4.03,29.6
Negrón, Kristopher,502117,109,ARI,SS,31,12,,29.5
Hernandez, Cesar,514917,143,PHI,2B,27,251,4.14,29.4
Gentry, Craig,502226,110,BAL,RF,34,49,4.20,29.4
Margot, Manuel,622534,135,SD,CF,23,185,4.17,29.4
Barreto, Franklin,620439,133,OAK,SS,21,14,,29.4
Strange-Gordon, Dee,543829,146,MIA,2B,29,348,3.89,29.4
Trout, Mike,545361,108,LAA,CF,26,154,4.25,29.4
Tapia, Raimel,606132,115,COL,RF,23,72,4.05,29.4
Calixte, Orlando,593525,137,SF,LF,25,14,4.21,29.4
Story, Trevor,596115,115,COL,SS,25,141,4.18,29.3
Fisher, Derek,605233,117,HOU,LF,24,58,4.07,29.3
Córdoba, Allen,642707,135,SD,LF,22,81,4.17,29.3
Kiermaier, Kevin,595281,139,TB,CF,27,157,4.01,29.3
Mondesi, Adalberto,609275,118,KC,2B,22,11,,29.3
Hoying, Jared,592419,140,TEX,CF,28,28,4.12,29.3
Hanson, Alen,593700,145,CWS,2B,25,101,4.00,29.3
Marte, Ketel,606466,109,ARI,SS,24,106,4.13,29.2
Marisnick, Jake,545350,117,HOU,CF,26,64,4.24,29.2
Merrifield, Whit,593160,118,KC,2B,28,213,4.22,29.2
Stevenson, Andrew,664057,120,WSH,RF,23,25,4.11,29.2
Brinson, Lewis,621446,158,MIL,CF,23,18,4.24,29.2
Difo, Wilmer,594694,120,WSH,SS,25,159,4.18,29.1
Wade, Tyler,642180,147,NYY,2B,23,24,4.08,29.1
García, Avisaíl,541645,145,CWS,RF,26,249,4.28,29.1
Alcántara, Arismendy,570489,113,CIN,,26,44,4.11,29.1
Robinson, Shane,453203,108,LAA,RF,33,15,4.17,29.1
Williams, Nick,608384,143,PHI,RF,24,128,4.19,29.1
Hernández, Gorkys,491676,137,SF,CF,30,137,4.22,29.1
Pirela, Jose,517369,135,SD,LF,28,153,4.23,29.1
Rutledge, Josh,592710,111,BOS,3B,28,52,4.22,29.0
Jones, JaCoby,592444,116,DET,CF,25,52,4.26,29.0
Phillips, Brett,621433,158,MIL,CF,23,29,3.93,29.0
Taylor, Chris,621035,119,LAD,CF,27,229,4.18,29.0
Souza Jr., Steven,519306,139,TB,RF,28,179,4.26,29.0
Adduci, Jim,451192,116,DET,RF,32,26,4.11,29.0
Blanco, Grégor,453923,109,ARI,CF,34,93,4.10,28.9
Hays, Austin,669720,110,BAL,RF,22,31,4.23,28.9
Moncada, Yoán,660162,145,CWS,2B,22,71,4.22,28.9
Altherr, Aaron,571437,143,PHI,LF,26,158,4.40,28.9
Fuentes, Rey,571681,109,ARI,CF,26,51,4.10,28.9
Granite, Zack,643335,142,MIN,CF,25,52,4.08,28.9
Bryant, Kris,592178,112,CHC,3B,25,225,4.14,28.9
Happ, Ian,664023,112,CHC,CF,23,127,4.19,28.9
Mahtook, Mikie,543484,116,DET,CF,28,157,4.20,28.9
Marte, Starling,516782,134,PIT,LF,29,133,4.12,28.9
Peraza, José,606299,113,CIN,2B,23,215,4.16,28.9
Bonifácio, Emilio,466988,144,ATL,,32,12,,28.9
Taylor, Michael A.,572191,120,WSH,CF,26,133,4.12,28.9
Bellinger, Cody,641355,119,LAD,1B,22,164,4.08,28.9
McCutchen, Andrew,457705,134,PIT,CF,31,209,4.30,28.9
Young Jr., Eric,458913,108,LAA,LF,32,49,4.16,28.8
May, Jacob,594576,145,CWS,CF,25,16,,28.8
Frazier, Clint,640449,147,NYY,LF,23,53,4.19,28.8
Gardner, Brett,458731,147,NYY,LF,34,261,4.04,28.8
Bautista, Rafael,622441,120,WSH,RF,24,11,,28.8
Anderson, Tim,641313,145,CWS,SS,24,230,4.23,28.8
Hazelbaker, Jeremy,571757,109,ARI,,30,23,,28.7
Maybin, Cameron,457727,117,HOU,CF,30,184,4.23,28.7
Swanson, Dansby,621020,144,ATL,SS,23,200,4.19,28.7
Albies, Ozzie,645277,144,ATL,2B,20,79,4.16,28.7
Heredia, Guillermo,628338,136,SEA,LF,26,173,4.19,28.7
Ervin, Phillip,640447,113,CIN,CF,25,22,4.24,28.7
Cain, Lorenzo,456715,118,KC,CF,31,240,4.25,28.7
Chapman, Matt,656305,133,OAK,3B,24,99,4.34,28.7
Spangenberg, Cory,605486,135,SD,3B,26,177,4.14,28.7
Pham, Tommy,502054,138,STL,LF,29,210,4.40,28.7
Hernández, Teoscar,606192,141,TOR,LF,25,21,4.24,28.7
Allen, Greg,656185,114,CLE,CF,24,16,,28.7
Pollock, AJ,572041,109,ARI,CF,30,220,4.26,28.6
Nimmo, Brandon,607043,121,NYM,LF,24,64,4.23,28.6
Peterson, Jace,607054,144,ATL,LF,27,84,4.16,28.6
Lagares, Juan,501571,121,NYM,CF,28,120,4.27,28.6
Realmuto, J.T.,592663,146,MIA,C,26,230,4.22,28.6
Toles, Andrew,592808,119,LAD,LF,25,44,4.12,28.6
Culberson, Charlie,518586,119,LAD,SS,28,12,,28.6
Ureña, Richard,620446,141,TOR,SS,21,22,,28.6
Eaton, Adam,594809,120,WSH,CF,29,48,4.06,28.6
Ngoepe, Gift,547912,134,PIT,2B,27,22,4.28,28.6
d'Arnaud, Chase,488818,135,SD,SS,30,26,4.07,28.6
García, Leury,544725,145,CWS,CF,26,140,4.10,28.6
Pence, Hunter,452254,137,SF,RF,34,246,4.16,28.6
Díaz, Aledmys,649557,138,STL,SS,27,130,4.20,28.6
Báez, Javier,595879,112,CHC,SS,25,178,4.24,28.5
Myers, Wil,571976,135,SD,1B,27,184,4.27,28.5
Almonte, Abraham,501659,114,CLE,RF,28,87,4.26,28.5
Gosselin, Phil,594838,140,TEX,2B,29,21,4.22,28.5
Kelly, Ty,571841,143,PHI,,29,35,4.18,28.5
Semien, Marcus,543760,133,OAK,SS,27,118,4.27,28.5
Lin, Tzu-Wei,624407,111,BOS,SS,23,23,4.12,28.5
Slater, Austin,596103,137,SF,LF,25,56,4.33,28.5
Polanco, Jorge,593871,142,MIN,SS,24,203,4.15,28.5
Grichuk, Randal,545341,138,STL,RF,26,133,4.33,28.5
Hicks, Aaron,543305,147,NYY,CF,28,138,4.16,28.5
